产品名,ID,县域,品类一级,规格,口味,参考图,Logo位置,主视觉类型,视觉风格,包装形态,版式骨架,结构惯例,主色,文化锚点,主视觉描述,字体调性,复用潜力,候选模板归属
宜君核桃,0001,宜君,干货农副,/,,assets/images/1-宜君核桃-宜君核桃.png,顶部左,插画,剪纸/版画风,袋装,上下分区型,全包,绿色系,陕北剪纸,"一只黑色大狗回头叼着红花,脚边散落核桃与绿叶",厚重黑体(力量感、现代),,
宜君党参,0002,宜君,中药材,/,,assets/images/2-宜君党参-宜君党参.png,顶部居中,插画,剪纸/版画风,普通盒装,满铺图,全包,大地系,陕北剪纸,"一支完整党参(根须舒展)横铺画面,旁边一只小鹿与山丘",厚重黑体(力量感、现代),,
宜君玉米糁,0003,宜君,干货农副,/,,assets/images/3-宜君玉米糁-宜君玉米糁(白布袋).png,顶部右,插画,矢量简约插画,天然材质袋,居中型,全包,中性系,/,"画面中央产品名大字,两侧各立一株玉米",厚重黑体(力量感、现代),,
宜君荞面饸饹,0004,宜君,干货农副,1kg,,assets/images/4-宜君荞面饸饹-宜君荞面饸饹(1kg长条袋).jpg,顶部居中,插画,民俗绘画,袋装,上下分区型,全包,大地系,宜君农民画,"一个扎辫子的女孩伸手摘荞麦花,身旁一只公鸡、空中两只飞燕",厚重黑体(力量感、现代),,
宜君木耳,0005,宜君,干货农副,100g,,assets/images/5-宜君木耳-宜君木耳.png,顶部右,插画,民俗绘画,袋装,上下分区型,全包,大地系,宜君农民画,"一位戴草帽的采菇人背着背篓采木耳,身旁一只公鸡与花丛",厚重黑体(力量感、现代),,
宜君核桃仁,0006,宜君,即食零食,/,,assets/images/6-宜君核桃仁-宜君核桃仁(红袋).png,顶部左,插画,民俗绘画,袋装,上下分区型,全包,红色系,宜君农民画,"一位妇女怀抱婴儿,周围环绕猫、马、羊等成群动物",厚重黑体(力量感、现代),,
宜君玉米糁,0007,宜君,干货农副,5kg,,assets/images/7-宜君玉米糁-宜君玉米糁(5kg提手).png,顶部居中,插画,矢量简约插画,礼盒装,居中型,全包,黄色系,/,"画面中央产品名大字,左右对称排布两株玉米",厚重黑体(力量感、现代),,
宜君老蜂蜜,0008,宜君,干货农副,500ml,,assets/images/8-宜君老蜂蜜-宜君老蜂蜜.png,其他,插画,民俗绘画,罐装,满铺图,"开窗,腰封",多彩系,宜君农民画,"一对养蜂的男孩女孩在砖墙民居前忙碌,空中飞舞蜜蜂",厚重黑体(力量感、现代),,
宜君西瓜,0009,宜君,鲜果蔬蛋,2个装,,assets/images/9-宜君西瓜-宜君西瓜礼盒.png,顶部左,插画,民俗绘画,礼盒装,满铺图,全包,多彩系,宜君农民画,"一片瓜田与森林,有人骑车、有人开车,点缀果树、河流与动物",厚重黑体(力量感、现代),,
宜君苹果,0010,宜君,鲜果蔬蛋,16个装,,"assets/images/10-宜君苹果-宜君苹果正面.png,assets/images/10-宜君苹果-宜君苹果礼盒(16枚装).png",顶部右,插画,民俗绘画,礼盒装,满铺图,全包,红色系,宜君农民画,"一位背竹篓的妇女伸手采摘苹果,身旁一只黑狗回头叼花",厚重黑体(力量感、现代),,
宜君核桃乳,0011,宜君,饮料类,150ml,,assets/images/11-宜君核桃乳-宜君核桃乳.png,顶部左,插画,剪纸/版画风,罐装,居中型,全包,中性系,陕北剪纸,"画面中央产品名,四周散布飞燕、小鸟与核桃枝叶",厚重黑体(力量感、现代),,
宜君小酒缸,0012,宜君,酒类,1000ml,,assets/images/12-宜君小酒缸-宜君小酒缸(45度白酒).png,顶部右,插画,剪纸/版画风,瓶装,居中型,"开窗,腰封",中性系,陕北剪纸,"左右对称的一对凤凰,中间衬红花纹样",厚重黑体(力量感、现代),,
宜君手撕兔,0013,宜君,即食零食,650g,麻辣,assets/images/13-宜君手撕兔-宜君手撕兔.jpg,顶部右,插画,民俗绘画,袋装,上下分区型,"开窗,腰封",红色系,宜君农民画,"一只白色农民画兔子,身披彩绘花纹,周围环绕鲜花、果实与彩鸟",厚重黑体(力量感、现代),,
宜君西瓜,0014,宜君,鲜果蔬蛋,四个装,,assets/images/14-宜君西瓜-宜君01.jpg,顶部左,插画,民俗绘画,礼盒装,满铺图,全包,多彩系,宜君农民画,"山林果园全景,远山苹果桃树、河流,前景骑摩托的老人、汽车卡车、动物群,绿色西瓜田",厚重黑体(力量感、现代),,
宜君苹果,0015,宜君,鲜果蔬蛋,16枚装,,assets/images/15-宜君苹果-宜君苹果礼盒手提袋.png,顶部右,插画,民俗绘画,礼盒装,满铺图,全包,多彩系,宜君农民画,"一棵苹果树,多人采摘:爬树男孩、伸手辫女孩、抱苹果儿童、背篓妇女,树上栖鸟、花卉环绕",厚重黑体(力量感、现代),,
宜君玉米糁,0016,宜君,干货农副,500g,,assets/images/16-宜君玉米糁-宜君玉米糁.jpg.jpg,顶部右,插画,民俗绘画,袋装,上下分区型,全包,黄色系,宜君农民画,"上部白色邮票内单株玉米简笔;下部农民画双儿童面部特写,女孩戴蝴蝶发饰、男孩穿红肚兜,周围彩色装饰物",厚重黑体(力量感、现代),,
黄精酸梅汤,0017,宜君,饮料类,4X40g,,assets/images/17-黄精酸梅汤-黄精酸梅汤.jpg,中央,插画,IP角色插画,袋装,居中型,全包,大地系,/,"一个戴植物叶饰、披叶子披风的可爱小精灵角色""黄小精"",手持青梅枝叶",厚重黑体(力量感、现代),,
蜂解柠檬蜜汁,0018,宜君,饮料类,蜂蜜36g + 水400ml,,assets/images/18-蜂解柠檬蜜汁-宜君柠檬蜜汁.png,顶部右,文字图形,线描/极简线稿,瓶装,居中型,"开窗,腰封",黄色系,/,"透明瓶身中部黄色标签上黑体大字""柠檬蜜汁"",右下黑色线描柠檬",厚重黑体(力量感、现代),,
宜君核桃花椒锅巴,0019,宜君,即食零食,62g,麻辣,assets/images/19-宜君核桃花椒锅巴-核桃花椒锅巴.png,顶部居中,插画,民俗绘画,袋装,上下分区型,"开窗,腰封",橙色系,宜君农民画,"穿紫花衣少女抱竹篓往左走,身旁结红果的树、五彩花朵与小鸟",厚重黑体(力量感、现代),,
